question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,
たやすい,弟は寝坊したらしく、たやすい物だけ食べて、慌てて出かけていった。,伊藤氏とは大学時代からの親友で、本音が言えるたやすい関係だ。,せっかくの日曜日だから、ゆっくり休んでたやすく過ごそうと思う。,この問題は想像以上に複雑で、たやすく解決できるものではなかった。,この問題は想像以上に複雑で、たやすく解決できるものではなかった。,,たやすい,"この問題は想像以上に複雑""『たやすい』=容易だ。『たやすく解決できない』の否定形で適切。他は用法不自然。""",Tayasu i = easy; here in negative form 'not easily solved' is natural. Others are odd.,『たやすい』=容易。此处否定『不易解决』自然，其余不当。,『たやすい』=容易。此處否定用法自然，其他不當。,否定形『たやすく〜ない』が定型。,«たやすい» = facile; la tournure négative est idiomatique.,«たやすい» = mudah; bentuk negatif lazim.,«たやすい» = fácil; forma negativa es natural.,«たやすい» = ง่าย รูปปฏิเสธใช้บ่อย ตัวอื่นไม่ธรรมชาติ,«たやすい» = dễ; dạng phủ định dùng tự nhiên.,
察する,医師たちはチームを組み、意見を出し合って、最良の治療法を察した。,気象予報士はテレビの天気予報で、来週の気温の変化を察し始めた。,鈴木さんは、私が何も言わなくても、私の気持ちを察して慰めてくれた。,外を歩いていたら急にいいアイディアを察したので、手帳にメモをした。,鈴木さんは、私が何も言わなくても、私の気持ちを察して慰めてくれた。,,察する,"鈴木さんは、私が何も言わ""『察する』=推し量る/気持ちをくみ取る。『気持ちを察して慰めてくれた』が適切。""",Sassuru means infer/guess feelings; comforting after sensing feelings fits.,『察する』=推测/体察。体谅对方心情并安慰最合适。,『察する』=體會/推測。體諒心情並安慰為宜。,『気持ちを察する』が定型。,«察する» = deviner/ressentir; «気持ちを察して» est naturel.,«察する» = memahami perasaan; kalimat itu tepat.,«察する» = percibir sentimientos; opción correcta.,«察する» = คาด/เข้าใจความรู้สึก ใช้ถูกต้อง,«察する» = thấu hiểu/cảm thông; câu đúng.,
内訳,来週の内訳を確認したが、予定がないのは木曜の夜だけだ。,前回の出張費の内訳を見たら、交通費の割合が予想外に高かった。,司会者は進行を間違えないように、式の内訳を何度も見直した。,家族の健康のため、栄養の内訳を考えて食事を作っている。,前回の出張費の内訳を見たら、交通費の割合が予想外に高かった。,,内訳,『内訳』=項目ごとの明細。出張費の内訳(交通費が高い)が自然。,Uchiwake = breakdown by item; expense breakdown fits best.,『内訳』=明细/分项。差旅费内訳最自然。,『内訳』=明細。出差費用的內訳最自然。,『費用の内訳』が典型。,«内訳» = ventilation/détail par postes; dépenses convient.,«内訳» = perincian; cocok untuk biaya.,«内訳» = desglose; gastos es natural.,«内訳» = รายละเอียดแยกรายการ เหมาะกับค่าใช้จ่าย,«内訳» = chi tiết hạng mục; phù hợp chi phí.,
食い違う,この事件は、複数の目撃者の話がそれぞれ食い違っており、不明な点が多い。,金庫を開けようと思ったが、どの鍵も食い違って開けられなかった。,何だか歩きにくいと思ったら、サンダルの左右が食い違っていた。,調味料を変えたのか、この料理はいつもと味が食い違っているように感じる。,この事件は、複数の目撃者の話がそれぞれ食い違っており、不明な点が多い。,,食い違う,証言などが一致しない=『食い違う』。目撃談が食い違う、が適切。,Kui chigau = disagree/contradict; witness accounts differ fits.,『食い違う』=不一致/相矛盾。目击证言不一致最合适。,『食い違う』=不一致。目擊證言不一致為宜。,証言が食い違う、が自然。,«食い違う» = diverger; témoignages divergent convient.,«食い違う» = bertentangan; kesaksian berbeda cocok.,«食い違う» = discrepar; relatos de testigos encaja.,«食い違う» = ไม่ตรงกัน เหมาะกับคำให้การ,«食い違う» = bất đồng; lời khai khác nhau phù hợp.,
過密,雑誌で紹介されてから、この商品への過密な注文が続いているらしい。,水質汚染に関して人々の抗議が過密になり、政府は対策を迫られている。,今回の出張は過密なスケジュールで、ゆっくり食事する時間もなさそうだ。,春になると、この池の周りには、色とりどりの花が過密に咲き乱れる。,今回の出張は過密なスケジュールで、ゆっくり食事する時間もなさそうだ。,,過密,今回の出張は過密なスケジ,『過密』=密度が高すぎる/詰め込み。『過密なスケジュール』が自然。,Kamitsu = overcrowded/dense; tight schedule fits.,『過密』=过于密集。『过密的日程』自然。,『過密』=過於密集。『過密なスケジュール』自然。,『過密なスケジュール』が定型。,«過密» = surchargé; planning surchargé convient.,«過密» = padat; jadwal padat tepat.,«過密» = saturado; agenda apretada correcto.,«過密» = แน่นเกินไป ใช้กับตารางเวลา,«過密» = dày đặc; lịch dày phù hợp.
朝の満員電車。車内の混雑を（ ） 、私の目の前に座っている学生風の男は、平然とノートパソコンを広げて、作業に没頭していた。,含めて,もとに,除いて,よそに,よそに,,,『〜をよそに』=〜を無視して/かまわず。混雑をよそに→平然と作業。,〜を yoso ni = ignoring/irrespective of; fits the scene.,『〜をよそに』=不顾/无视。与语境吻合。,『〜をよそに』=不顧/無視。,『混雑をよそに』が自然。,«〜をよそに» = en faisant fi de; naturel ici.,«〜をよそに» = mengabaikan; sesuai konteks.,«〜をよそに» = haciendo caso omiso de; encaja.,«〜をよそに» = เมิน/ไม่แยแส เหมาะกับบริบท,«〜をよそに» = phớt lờ/bất chấp; phù hợp.していた。,
私の父は、（ ）もしないで漫画を批判するから、本当に嫌になる。,読まない,読み,読もう,読んで,読み,,,読みもしないで』=全く読まずに、の意。『読み』が正解。,Yomi mo shinai de = without even reading → 読み.,『読みもしないで』=连读都不读就… → 选『読み』。,『読みもしないで』=連讀也不讀就… → 『読み』。,『〜もしないで』の連用形=『読み』。,Forme «〜もしないで»: «読み».,Bentuk «〜もしないで»: «読み».,Forma «〜もしないで»: «読み».,รูป «〜もしないで» ใช้รูปคำนามกริยา → «読み»,Dạng «〜もしないで»: dùng danh động từ → «読み».,
"（卒業生へのインタビューで）聞き手「学生時代にやったことで、今の仕事に役立っていることは何でしょうか。」 田中 「ラグビー部での経験ですね。チームワークの大切さを痛感しました。（ ） 、それは去年企画チームのリーダーになって初めて気づいたことですが。」""",要するに,あるいは,もっとも,ついては,もっとも,,,『もっとも』=ただし/とはいえ。前言に条件を付ける接続。,Mottomo adds a caveat: 'that said'.,『もっとも』=不过/话虽如此，用于补充但书。,『もっとも』=不過/話雖如此。,『もっとも』は但し書きの接続語。,«もっとも» = cela dit; conjonction de réserve.,«もっとも» = meski begitu; penghubung pengecualian.,«もっとも» = eso sí; conector de salvedad.,«もっとも» = แต่ทว่า/อย่างไรก็ดี,«もっとも» = tuy vậy; liên từ nêu ngoại lệ.,
（求人サイトの「よくある質問」で） Ｑ:インテリアに関する知識がないのですが、働けますか。 Ａ:研修があるので大丈夫です。知識はある（ ）が、それよりも人柄や仕事に取り組む姿勢を重視しています。,にすぎません,ことは否めません,に越したことはありません,といっても過言ではありません,に越したことはありません,,,『〜に越したことはない』=それが最善。知識はあるに越したことはない。,Best to have X: having knowledge is preferable.,『…に越したことはない』=最好有。,『…に越したことはない』=最好有。,『あるに越したことはない』が定型。,«〜に越したことはない» = il vaut mieux.,«〜に越したことはない» = sebaiknya ada.,«〜に越したことはない» = mejor tenerlo.,«〜に越したことはない» = มีไว้ก็ดีที่สุด,«〜に越したことはない» = có thì tốt nhất.,
（お知らせで） 水道管破裂による断水のため、８月１ ２日まで市民プールの営業を休止します。復旧状況（ ） 、営業再開が遅れる可能性がありますので、ご了承ください。,次第には,次第に,次第では,次第,次第では,,,『〜次第では』=状況によっては。復旧状況次第では再開が遅れる。,Shidai de wa = depending on; reopening may be delayed.,『次第では』=视情况而定。可能延迟重开。,『次第では』=視情況而定。可能延後。,『復旧状況次第では』が自然。,«次第では» = selon les circonstances.,«次第では» = tergantung situasi.,«次第では» = según la situación.,«次第では» = ขึ้นอยู่กับสถานการณ์,«次第では» = tùy tình hình.,
クレジットカードの番号等、他人に（ ）困る情報は、電子メールには書かないほうがいいそうだ。,知っていても,知っていなくても,知らなくては,知られては,知られては,,,『〜てはならない』のニュアンス。『知られては困る情報』=知られてはいけない。,Shirarete wa (if known) implies must not be known by others.,『知られては困る』=不宜被别人知道。,『知られては困る』=不宜為他人所知。,『〜ては(いけない)』の構文。,«知られては» = ne doit pas être connu.,«知られては» = tidak boleh diketahui.,«知られては» = no debe conocerse.,«知られては» = ไม่ควรถูกคนอื่นรู้,«知られては» = không nên để lộ.,
仕事は、決められた時間内に、いかに成果を上げるかが大切であり、単に時間をかけて（ ）と私は思う。,がんばることだといってもおかしくない,がんばることでしかない,がんばりようがない,がんばればいいというものではない,がんばればいいというものではない,,,量より質。『〜というものではない』=必ずしもそうではない。,Not merely effort; form denies simplistic view.,不只是努力即可：『…というものではない』=并非如此简单。,不僅努力即可：『…というものではない』。,『〜というものではない』で一般論を否定。,Tour «〜というものではない»: pas si simple.,Bukan sekadar berusaha; bukan selalu begitu.,No basta con esforzarse; no siempre así.,ไม่ใช่แค่พยายามก็พอ รูปปฏิเสธทั่วไป,Không phải chỉ cần cố gắng là đủ.,
現在、潜水調査船を用いた調査研究が進展中であり、いずれ近いうちに海底のより詳細な地質構造が明らかに（ ） 。,なるものと思われる,するという思いがある,なったかに思える,するだろうと思う,なるものと思われる,,,客観的な推量/見通し。『〜ものと思われる』で丁寧に予測。,Objective conjecture: 'is thought likely to'.,客观推测：『…ものと思われる』。,客觀推測：『…ものと思われる』。,丁寧な推量表現。,Forme de conjecture polie.,Ungkapan dugaan sopan.,Expresión de conjetura formal.,สำนวนคาดคะเนแบบสุภาพ,Cách diễn đạt suy đoán lịch sự.,
山下「あのう、西村先輩。私、今日でこのサークルを（ ） 。」西村「ええ？ 辞める？ 急にどうして？」,辞めてしまわれたのでしょうか,辞めてしまったのかと思っ,辞めさせたらどうでしょうか,辞めさせてもらおうかと思って,辞めさせてもらおうかと思って,,,自分が辞める許可をもらう意図=『辞めさせてもらう』が自然。,Asking permission nuance for quitting oneself fits this pattern.,表达请求允许自己退出=『辞めさせてもらう』。,表示請求允許自己退出。,自分に対する使役+もらうの慣用。,Tournure idiomatique pour quitter avec permission.,Bentuk idiomatik untuk minta izin berhenti.,Giro idiomático para pedir permiso de dejarlo.,รูปขออนุญาตลาออกด้วย «〜させてもらう»,Cách nói xin phép nghỉ: «〜させてもらう».,
次の文の ★ に入る最もよいものを、一つ選びなさい。「アセビ」という、白い花を咲かせる樹木を漢字で「馬酔木」と書くのは、アセビには ★ __ __ __ そうです。,由来する,有毒成分があり,状態になることに,馬が食べると酔ったような,有毒成分があり,,,『有毒成分があり→馬が食べると酔ったような→状態になることに→由来する』の意味関係。,Order shows cause: toxic → horse seems drunk → thus named.,顺序体现因果：有毒→马像醉→因此得名。,順序體現因果：有毒→馬像醉→因此而來。,因果の並びで語がつながる。,Ordre causal logique.,Urutan sebab-akibat yang logis.,Orden causal lógico.,เรียงตามเหตุผล-ผลลัพธ์,Trật tự nhân-quả hợp lý.,
家族の時間を大切にする夫は、つい __ __ ★ __ ありがたい存在です。,大切なものは何なのか,私に,仕事に夢中になりすぎる,気づかせてくれる,本当に大切なものは何なのか,,,『本当に大切なものは何なのか→私に→気づかせてくれる→ありがたい』の流れ。,Flow: makes me realize what truly matters → grateful.,使我意识到真正重要的→让我→因此感激。,讓我意識到真正重要的→使我→因此感激。,気づかせてくれる対象=私。,Cible «私» de 気づかせてくれる.,Target «私» dari 気づかせてくれる.,Objetivo «私» de 気づかせてくれる.,ลำดับให้ฉันตระหนัก→น่าขอบคุณ,Trình tự: làm tôi nhận ra → đáng quý.,
Ｚ県知事の林和夫氏は、週刊誌で、脱税を行った __ __ ★ __異なり、名誉を傷つけられたとして、発行元のＸ社を相手取り訴訟を起こした。,事実とは全く,疑いがあるなどと,報じられた,ことに対し,ことに対し,,,『事実とは全く→異なり』を受け『…と報じられた→ことに対し』で訴訟。,Structure: reported allegation differs from facts → sued.,结构：报道与事实完全不同→提诉。,結構：報導與事實全異→提訴。,『ことに対し』で行為の対象を示す。,Marque l'objet de l'action: ことに対し.,Menandai objek tindakan: ことに対し.,Marca el objeto de la acción: ことに対し.,ใช้ «ことに対し» ชี้เป้าการกระทำ,Dùng «ことに対し» chỉ đối tượng hành động.,
Ｑ鉄道が１０年ぶりに運賃値上げに踏み切った。安全対策や原油の高騰で支出が増え、経営努力だけでは対応しきれないと判断 __ __ ★ __。,という,の,ことだ,して,ことだ,,,『…と判断→した→ことだ』で伝聞のまとめ。,Report style: judged thus → therefore (ことだ).,报道体：判断→した→ことだ。,報導體：判斷→した→ことだ。,『ことだ』で説明の結語。,«ことだ» conclut l'explication.,«ことだ» menutup penjelasan.,«ことだ» cierra la explicación.,«ことだ» ปิดท้ายคำอธิบาย,«ことだ» kết câu giải thích.,
世の中にはさまざまな資格があふれているが、資格を取った __ __ __ ★ 世間は甘くないらしい。,だけ,ほど,で,希望の職につける,ほど,,,『資格を取った→だけ/ほど/で→希望の職につける→ほど』の対比で『世間は甘くない』を示す。,Shows contrast: merely getting certificates doesn't ensure jobs.,对比：仅拿证并不保证理想工作。,對比：只拿證不保證理想工作。,『〜だけで〜ほど』の構文で安易さ否定。,Contraste: pas si simple avec un diplôme.,Kontras: sertifikat saja tak cukup.,Contraste: no basta con un título.,ตอกย้ำว่า แค่มีใบรับรองไม่พอ,Nhấn mạnh: chỉ có chứng chỉ là chưa đủ.,
41の中に入る最もよいものを、一つ選びなさい。,こちらにはいえないこともない,こちらにいえるとは限らない,こちらにもいえるとは思わなかった,こちらにはいえないと思うのか,こちらにいえるとは限らない,JlptN1ReadingImgae1,,一般論がすべてに当てはまるとは限らない、という趣旨。,Point: not everything generalizable.,要点：一般论未必处处适用。,要點：一般論は必ずしも当てはまらない。,一般化の否定。,Nuance: pas toujours généralisable.,Inti: tidak selalu berlaku umum.,Idea: no siempre generalizable.,ใจความ: ใช้ทั่วไปไม่ได้เสมอ,Ý: không phải lúc nào cũng áp dụng.,
42の中に入る最もよいものを、一つ選びなさい。,そういう,する,あの,やろうという,そういう,JlptN1ReadingImgae1,,前に述べた内容を受ける『そういう』が自然。,Refers back with 'that kind'.,指代前文用『そういう』自然。,承前『そういう』が自然。,指示語の整合。,Cohérence du démonstratif.,Kohesi penunjuk yang tepat.,Coherencia del demostrativo.,คำชี้เฉพาะสอดคล้องบริบท,Từ chỉ thị phù hợp ngữ cảnh.,
43の中に入る最もよいものを、一つ選びなさい。,トイレのことだ,トイレのことであるに違いない,トイレだからである,トイレだと聞いている,トイレのことだ,JlptN1ReadingImgae1,,文脈上、指しているのは『トイレのこと』。断定が自然。,Context points to toilet; plain statement fits.,语境指的是『厕所』，直述自然。,文脈はトイレのこと。,指示対象の明確化。,Clarifie la référence (toilettes).,Menjelaskan rujukan (toilet).,Aclara la referencia (baño).,ชี้ชัดสิ่งที่อ้างถึง (ห้องน้ำ),Làm rõ đối tượng được nói đến.,
